"continent","location","date","population","new_vaccinations"
"Asia","Afghanistan","11/20/23","41128772",NULL
"Asia","Afghanistan","11/21/20","41128772",NULL
"Asia","Afghanistan","11/21/21","41128772",NULL
"Asia","Afghanistan","11/21/22","41128772",NULL
"Asia","Afghanistan","11/21/23","41128772",NULL
"Asia","Afghanistan","11/22/20","41128772",NULL
"Asia","Afghanistan","11/22/21","41128772",NULL
"Asia","Afghanistan","11/22/22","41128772",NULL
"Asia","Afghanistan","11/22/23","41128772",NULL
"Asia","Afghanistan","11/23/20","41128772",NULL
"Asia","Afghanistan","11/23/21","41128772",NULL
"Asia","Afghanistan","11/23/22","41128772",NULL
"Asia","Afghanistan","11/23/23","41128772",NULL
"Asia","Afghanistan","11/24/20","41128772",NULL
"Asia","Afghanistan","11/24/21","41128772",NULL
"Asia","Afghanistan","11/24/22","41128772",NULL
"Asia","Afghanistan","11/24/23","41128772",NULL
"Asia","Afghanistan","11/25/20","41128772",NULL
"Asia","Afghanistan","11/25/21","41128772",NULL
"Asia","Afghanistan","11/25/22","41128772",NULL
"Asia","Afghanistan","11/25/23","41128772",NULL
"Asia","Afghanistan","11/26/20","41128772",NULL
"Asia","Afghanistan","11/26/21","41128772",NULL
"Asia","Afghanistan","11/26/22","41128772",NULL
"Asia","Afghanistan","11/26/23","41128772",NULL
"Asia","Afghanistan","11/27/20","41128772",NULL
"Asia","Afghanistan","11/27/21","41128772",NULL
"Asia","Afghanistan","11/27/22","41128772",NULL
"Asia","Afghanistan","11/27/23","41128772",NULL
"Asia","Afghanistan","11/28/20","41128772",NULL
"Asia","Afghanistan","11/28/21","41128772",NULL
"Asia","Afghanistan","11/28/22","41128772",NULL
"Asia","Afghanistan","11/28/23","41128772",NULL
"Asia","Afghanistan","11/29/20","41128772",NULL
"Asia","Afghanistan","11/29/21","41128772",NULL
"Asia","Afghanistan","11/29/22","41128772",NULL
"Asia","Afghanistan","11/29/23","41128772",NULL
"Asia","Afghanistan","11/3/20","41128772",NULL
"Asia","Afghanistan","11/3/21","41128772",NULL
"Asia","Afghanistan","11/3/22","41128772",NULL
"Asia","Afghanistan","11/3/23","41128772",NULL
"Asia","Afghanistan","11/30/20","41128772",NULL
"Asia","Afghanistan","11/30/21","41128772",NULL
"Asia","Afghanistan","11/30/22","41128772",NULL
"Asia","Afghanistan","11/30/23","41128772",NULL
"Asia","Afghanistan","11/4/20","41128772",NULL
"Asia","Afghanistan","11/4/21","41128772",NULL
"Asia","Afghanistan","11/4/22","41128772",NULL
"Asia","Afghanistan","11/4/23","41128772",NULL
"Asia","Afghanistan","11/5/20","41128772",NULL
"Asia","Afghanistan","11/5/21","41128772",NULL
"Asia","Afghanistan","11/5/22","41128772",NULL
"Asia","Afghanistan","11/5/23","41128772",NULL
"Asia","Afghanistan","11/6/20","41128772",NULL
"Asia","Afghanistan","11/6/21","41128772",NULL
"Asia","Afghanistan","11/6/22","41128772",NULL
"Asia","Afghanistan","11/6/23","41128772",NULL
"Asia","Afghanistan","11/7/20","41128772",NULL
"Asia","Afghanistan","11/7/21","41128772",NULL
"Asia","Afghanistan","11/7/22","41128772",NULL
"Asia","Afghanistan","11/7/23","41128772",NULL
"Asia","Afghanistan","11/8/20","41128772",NULL
"Asia","Afghanistan","11/8/21","41128772",NULL
"Asia","Afghanistan","11/8/22","41128772",NULL
"Asia","Afghanistan","11/8/23","41128772",NULL
"Asia","Afghanistan","11/9/20","41128772",NULL
"Asia","Afghanistan","11/9/21","41128772",NULL
"Asia","Afghanistan","11/9/22","41128772",NULL
"Asia","Afghanistan","11/9/23","41128772",NULL
"Asia","Afghanistan","12/1/20","41128772",NULL
"Asia","Afghanistan","12/1/21","41128772",NULL
"Asia","Afghanistan","12/1/22","41128772",NULL
"Asia","Afghanistan","12/1/23","41128772",NULL
"Asia","Afghanistan","12/10/20","41128772",NULL
"Asia","Afghanistan","12/10/21","41128772",NULL
"Asia","Afghanistan","12/10/22","41128772",NULL
"Asia","Afghanistan","12/10/23","41128772",NULL
"Asia","Afghanistan","12/11/20","41128772",NULL
"Asia","Afghanistan","12/11/21","41128772",NULL
"Asia","Afghanistan","12/11/22","41128772",NULL
"Asia","Afghanistan","12/11/23","41128772",NULL
"Asia","Afghanistan","12/12/20","41128772",NULL
"Asia","Afghanistan","12/12/21","41128772",NULL
"Asia","Afghanistan","12/12/22","41128772",NULL
"Asia","Afghanistan","12/12/23","41128772",NULL
"Asia","Afghanistan","12/13/20","41128772",NULL
"Asia","Afghanistan","12/13/21","41128772",NULL
"Asia","Afghanistan","12/13/22","41128772",NULL
"Asia","Afghanistan","12/13/23","41128772",NULL
"Asia","Afghanistan","12/14/20","41128772",NULL
"Asia","Afghanistan","12/14/21","41128772",NULL
"Asia","Afghanistan","12/14/22","41128772",NULL
"Asia","Afghanistan","12/14/23","41128772",NULL
"Asia","Afghanistan","12/15/20","41128772",NULL
"Asia","Afghanistan","12/15/21","41128772",NULL
"Asia","Afghanistan","12/15/22","41128772",NULL
"Asia","Afghanistan","12/15/23","41128772",NULL
"Asia","Afghanistan","12/16/20","41128772",NULL
"Asia","Afghanistan","12/16/21","41128772",NULL
"Asia","Afghanistan","12/16/22","41128772",NULL
"Asia","Afghanistan","12/16/23","41128772",NULL
"Asia","Afghanistan","12/17/20","41128772",NULL
"Asia","Afghanistan","12/17/21","41128772",NULL
