"location","date","population","total_cases","percentpopulationinfected"
"North America","6/23/21","600323657","39279550","6.543062153554279"
"North America","6/24/21","600323657","39279550","6.543062153554279"
"North America","6/25/21","600323657","39279550","6.543062153554279"
"North America","6/26/21","600323657","39279550","6.543062153554279"
"North America","6/27/21","600323657","39460743","6.573244705563885"
"North America","6/28/21","600323657","39460743","6.573244705563885"
"North America","6/29/21","600323657","39460743","6.573244705563885"
"North America","6/30/21","600323657","39460743","6.573244705563885"
"North America","7/1/21","600323657","39460743","6.573244705563885"
"North America","7/2/21","600323657","39460743","6.573244705563885"
"North America","7/3/21","600323657","39460743","6.573244705563885"
"North America","7/4/21","600323657","39667571","6.607697454108492"
"North America","7/5/21","600323657","39667571","6.607697454108492"
"North America","7/6/21","600323657","39667571","6.607697454108492"
"North America","7/7/21","600323657","39667571","6.607697454108492"
"North America","7/8/21","600323657","39667571","6.607697454108492"
"North America","7/9/21","600323657","39667571","6.607697454108492"
"North America","7/10/21","600323657","39667571","6.607697454108492"
"North America","7/11/21","600323657","40095052","6.678905875601701"
"North America","7/12/21","600323657","40095052","6.678905875601701"
"North America","7/13/21","600323657","40095052","6.678905875601701"
"North America","7/14/21","600323657","40095052","6.678905875601701"
"North America","7/15/21","600323657","40095052","6.678905875601701"
"North America","7/16/21","600323657","40095052","6.678905875601701"
"North America","7/17/21","600323657","40095052","6.678905875601701"
"North America","7/18/21","600323657","40495834","6.745666862833627"
"North America","7/19/21","600323657","40495834","6.745666862833627"
"North America","7/20/21","600323657","40495834","6.745666862833627"
"North America","7/21/21","600323657","40495834","6.745666862833627"
"North America","7/22/21","600323657","40495834","6.745666862833627"
"North America","7/23/21","600323657","40495834","6.745666862833627"
"North America","7/24/21","600323657","40495834","6.745666862833627"
"North America","7/25/21","600323657","41064718","6.840429745050011"
"North America","7/26/21","600323657","41064718","6.840429745050011"
"North America","7/27/21","600323657","41064718","6.840429745050011"
"North America","7/28/21","600323657","41064718","6.840429745050011"
"North America","7/29/21","600323657","41064718","6.840429745050011"
"North America","7/30/21","600323657","41064718","6.840429745050011"
"North America","7/31/21","600323657","41064718","6.840429745050011"
"North America","8/1/21","600323657","41862263","6.973282247312802"
"North America","8/2/21","600323657","41862263","6.973282247312802"
"North America","8/3/21","600323657","41862263","6.973282247312802"
"North America","8/4/21","600323657","41862263","6.973282247312802"
"North America","8/5/21","600323657","41862263","6.973282247312802"
"North America","8/6/21","600323657","41862263","6.973282247312802"
"North America","8/7/21","600323657","41862263","6.973282247312802"
"North America","8/8/21","600323657","42874350","7.141872471635747"
"North America","8/9/21","600323657","42874350","7.141872471635747"
"North America","8/10/21","600323657","42874350","7.141872471635747"
"North America","8/11/21","600323657","42874350","7.141872471635747"
"North America","8/12/21","600323657","42874350","7.141872471635747"
"North America","8/13/21","600323657","42874350","7.141872471635747"
"North America","8/14/21","600323657","42874350","7.141872471635747"
"North America","8/15/21","600323657","44049213","7.337577402850876"
"North America","8/16/21","600323657","44049213","7.337577402850876"
"North America","8/17/21","600323657","44049213","7.337577402850876"
"North America","8/18/21","600323657","44049213","7.337577402850876"
"North America","8/19/21","600323657","44049213","7.337577402850876"
"North America","8/20/21","600323657","44049213","7.337577402850876"
"North America","8/21/21","600323657","44049213","7.337577402850876"
"North America","8/22/21","600323657","45358228","7.555628946336859"
"North America","8/23/21","600323657","45358228","7.555628946336859"
"North America","8/24/21","600323657","45358228","7.555628946336859"
